	MA_HOC_VIEN	KY	DIEM_TB_TICH_LUY
1	2009-02-1-15-085557	1	8.32
2	2009-02-1-15-085650	1	5.8
3	2009-02-1-15-085651	1	5.6
4	2009-02-1-15-085649	1	6.5
5	2009-02-1-15-087294	1	2.25
6	2009-02-1-15-085646	1	3.5
7	2009-02-1-15-085654	1	7.2
8	2009-02-1-15-085660	1	7
9	2009-02-1-15-085576	1	
10	2009-01-1-15-085525	1	0
11	2009-01-1-15-087259	1	8.4
12	MA_TAM00000066	1	0
13	2009-01-1-15-087273	1	7.4
14	2009-01-1-15-085596	1	0
15	2009-01-1-15-085529	1	4.4
16	MA_TAM00000070	1	5.6
17	2009-01-1-15-085610	1	5
18	2009-01-1-15-087263	1	4.375
19	2009-02-1-15-085554	2	3
20	2009-02-1-15-085643	2	5.125
21	2009-02-1-15-085569	2	6.5
22	2009-02-1-15-087295	2	7.142857143
23	2009-02-1-15-085660	2	6.714285714
24	2009-01-1-15-087259	2	5.875
25	2009-01-1-15-087258	2	0
26	2009-01-1-15-085609	2	0
27	2009-02-1-15-085627	2	6.571428571
28	2009-01-1-15-087262	2	0
29	2009-01-1-15-085546	2	0
30	2009-01-1-15-087270	2	4.166666667
31	2009-01-1-15-085605	2	5.666666667
32	2009-01-1-15-085618	2	5.857142857
33	2009-01-1-15-085616	2	3
34	2009-02-2-15-090567	1	3.833333333
35	2010-02-1-15-097609	1	6.142857143
36	2010-02-1-15-102210	1	6.833333333
37	2010-02-1-15-102180	1	4.833333333
38	2009-02-2-15-088881	1	7.833333333
39	2009-02-2-15-088872	1	6.833333333
40	2010-02-1-15-101407	1	7.833333333
41	2009-02-2-15-090576	1	6
42	MA_TAM20000335	1	6.2
43	2009-01-2-15-090584	1	4.666666667
44	2009-01-2-15-091897	1	5.6
45	2009-01-2-15-091885	1	5.857142857
46	2009-02-2-15-091938	1	7.833333333
47	2010-02-1-15-101418	1	6.333333333
48	2009-06-2-15-091957	1	6.8
49	2009-06-2-15-093639	1	6.6
50	2009-06-2-15-093643	1	6.8
51	2009-06-2-15-093644	1	6.8
52	2009-06-2-15-093648	1	6.6
53	2009-06-2-15-093650	1	5
54	2009-06-2-15-091950	1	3.75
55	2009-06-2-15-093652	1	5
56	2009-06-2-15-091940	1	4.75
57	2009-06-2-15-091953	1	5.25
58	2009-01-2-15-091900	1	7
59	MA_TAM20000290	1	5.8
60	2009-01-2-15-088919	1	2.2
61	2009-02-2-15-091908	1	6.666666667
62	2009-02-2-15-091916	1	7.333333333
