   	MA_HOC_VIEN	MA_LOP
1	2010-02-1-14-106396	104121.E6
2	2009-02-4-15-091793	094121.E2
3	MA_TAM21100119	101121.G6
4	2011-02-1-14-107998	104121.E6
5	2009-02-4-15-091775	094121.F2
6	2009-02-4-15-091782	094121.F2
7	2009-02-4-15-091783	094121.F2
8	2009-02-4-15-091784	094121.F2
9	2009-02-4-15-091774	094121.F2
10	2009-02-4-15-091792	094121.F2
11	2009-02-4-15-093700	094121.F2
12	2009-02-4-15-093701	094121.F2
13	2010-02-1-15-095725	094121.F2
14	2009-02-4-15-091757	094121.A3
15	2009-06-4-15-093779	091121.G2
16	2009-02-4-15-091754	094121.A3
17	MA_TAM20001385	091121.G2
18	2010-06-1-14-102384	091121.G2
19	2009-06-4-15-093766	091121.G2
20	2009-02-4-15-091763	094121.B3
21	2009-02-4-15-093681	094121.E2
22	2010-02-1-14-101637	094121.B3
23	2009-06-4-15-093768	091121.G2
24	2009-02-4-15-091786	094121.E2
25	2010-06-1-14-097926	091121.H2
26	2009-02-4-15-093690	094121.E2
27	2009-06-4-15-093762	091121.G2
28	2009-02-4-15-093684	104121.E6
29	2009-06-4-15-093767	091121.G2
30	2009-06-4-15-091855	091121.H2
31	2010-06-1-14-097927	091121.G2
32	2010-06-1-14-101617	091121.G2
33	2009-02-4-15-091777	094121.E2
34	2010-06-1-14-101581	091121.H2
35	2009-02-4-15-091766	094121.B3
36	2010-02-1-14-101636	094121.B3
37	2010-02-1-14-100554	094121.B3
38	2009-06-4-15-091856	091121.H2
39	2009-02-4-15-090621	094121.B3
40	2009-02-4-15-091756	094121.A3
41	2010-06-1-15-095727	091121.H2
42	2009-02-4-15-090628	094121.E2
43	MA_TAM20001355	094121.A3
44	2009-02-4-15-091778	094121.E2
45	2009-06-4-15-091846	091121.H2
46	2010-02-1-14-100557	094121.E2
47	2009-02-4-15-091787	094121.E2
48	2010-02-1-15-095723	094121.A3
49	2009-02-4-15-091788	094121.E2
50	2009-02-4-15-091767	094121.B3
51	2009-06-4-15-093777	104221.U2
52	2009-06-4-15-093765	091121.H2
53	2010-06-1-14-105943	091121.H2
54	2009-02-4-15-090624	094121.B3
55	2009-06-4-15-091850	091121.H2
56	2010-02-1-14-102357	094121.B3
57	2009-06-4-15-091853	091121.H2
58	2009-06-4-15-091858	091121.H2
59	2009-02-4-15-090625	094121.E2
60	2009-02-4-15-090629	094121.E4
61	2010-02-1-14-102361	094121.B3
62	2011-06-1-14-108006	091121.G2
63	2009-02-4-15-093699	104121.E6
64	2009-02-4-15-090620	094121.B3
65	2009-06-4-15-093761	091121.G2
66	2009-02-4-15-091768	094121.B3
67	2010-02-1-15-105658	094101.B4
68	2010-02-1-14-100555	094121.B3
69	2010-02-1-14-105878	094121.E2
70	2009-02-4-15-091791	094121.E2
71	2009-01-2-15-089358	094121.B5
72	MA_TAM20000757	114122.B8
73	2009-02-4-15-091780	094121.E2
74	2010-06-1-14-101590	091121.G2
75	2009-02-4-15-091779	094121.E2
76	2010-06-1-14-101589	091121.G2
77	2010-02-1-14-097384	094121.A3
78	2010-06-1-14-105925	091121.G2
79	2009-02-4-15-091789	094121.E2
80	2009-06-4-15-090658	091121.H2
81	2009-02-4-15-090616	094121.A3
82	2009-02-4-15-093688	094121.B3
83	2009-06-4-15-091863	091121.H2
84	2010-06-1-14-102385	104221.U2
85	2009-06-4-15-091852	091121.H2
86	2009-06-4-15-093771	091121.H2
87	2010-06-1-14-097379	091121.G2
88	2010-06-1-14-105924	091121.G2
89	2009-02-4-15-093686	094121.A3
90	2009-01-2-15-091889	094201.D2
91	2010-06-1-14-100573	091121.G2
92	2010-06-1-14-100575	091121.G2
93	2009-06-4-15-091848	091121.H2
94	2011-06-1-14-108005	091121.H2
95	2009-06-4-15-091847	091121.H2
96	2009-06-4-15-091854	091121.H2
97	2009-06-4-15-093775	104221.U2
98	2009-06-4-15-093764	091121.G2
99	2009-06-4-15-093774	091121.G2
100	2010-06-1-14-102379	091121.G2
101	2009-02-4-15-091755	094121.A3
102	2009-02-4-15-090618	094121.A3
103	2009-02-4-15-093687	094121.B3
104	2009-06-4-15-091864	091121.G2
105	2010-06-1-14-097377	091121.G2
106	MA_TAM20001365	094121.F2
107	MA_TAM20001570	094121.E2
108	2009-02-4-15-093685	094121.E2
109	2009-06-4-15-091860	091121.H2
110	2010-06-1-14-101588	091121.G2
111	2009-06-4-15-090659	091121.G2
112	2009-02-4-15-090622	094121.B3
113	2009-02-4-15-090627	094121.E2
114	2009-02-4-15-091776	094121.E2
115	2009-06-4-15-091849	091121.H2
116	2009-02-4-15-093696	094121.E2
117	2009-02-4-15-091771	094121.B3
118	2009-01-4-15-093759	094121.B3
119	2009-02-4-15-090614	094121.A3
120	MA_TAM20001106	094121.E2
121	2010-06-1-14-105926	091121.G2
122	2010-06-1-14-097928	091121.G2
123	2010-02-1-14-102363	094121.E2
124	2009-02-4-15-090630	091121.H2
125	MA - Tam _ktra	091121.G2
126	2009-02-4-15-091770	094121.B3
127	2009-06-4-15-093763	091121.G2
128	2009-06-4-15-090660	091121.G2
129	2010-06-1-15-095726	091121.H2
130	2009-06-4-15-093772	091121.H2
131	2010-06-1-14-097378	091121.G2
132	2010-06-1-14-097380	091121.G2
133	2009-02-4-15-093689	094121.B3
134	2011-06-1-14-108008	091121.G2
135	2009-02-4-15-093697	094121.E2
136	MA_TAM20001074	094121.E2
137	2009-02-4-15-091761	094121.A3
138	2010-02-1-14-097920	094121.A3
139	2009-02-4-15-093702	094121.E2
140	2010-02-1-14-097921	094121.E2
141	2010-02-1-14-097922	094121.E2
142	2009-01-4-15-090653	094121.B3
143	2011-06-1-14-113061	091121.G4
144	2010-01-1-14-105791	104221.C10
145	2010-01-1-14-102324	104221.U2
146	2010-02-1-14-105904	104121.E6
147	2009-06-2-15-091956	091101.G1
148	2011-01-1-15-108689	104201.U1
149	2009-01-2-15-088935	094201.D2
150	2011-06-1-15-108745	101101.G7
151	2010-01-1-13-097484	094231.C6
152	2010-02-2-15-105687	104501.K4
153	2010-02-1-14-099882	094121.B5
154	MA_TAM21120218	104221.C8
155	2010-06-1-15-094798	091121.G4
156	2011-01-1-15-114302	114201.O7B
157	2009-06-2-15-093649	091101.G1
158	2011-01-1-15-110869	114201.O5
159	2010-06-1-15-099985	091101.H3
160	MA_TAM2011002871	114201.O7C
161	2011-01-1-14-107934	104221.O2
162	2010-01-1-15-105570	104201.D9
163	2010-06-1-15-102264	101101.G7
164	2011-01-1-14-110608	114222.O4
165	2010-02-1-13-097444	094231.D6
166	2011-01-1-15-114334	114231.D11
167	2011-01-1-14-110578	114222.D13
168	2010-01-1-15-100024	104201.U1
169	2010-01-1-15-105590	104201.O1
170	2010-01-1-15-105535	104201.C9
171	2010-01-1-14-102289	094221.C5
