   ,MA_HOC_VIEN,TUOI,GIOI_TINH,MA_DOI_TUONG_TUYEN_SINH,KHAC_NGANH_YN,MA_KHOI_NGANH_DA_TOT_NGHIEP,GLOBAL_USERNAME
1,2009-02-1-15-085643,30,NU,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,hangdt09a1
2,2009-02-1-15-085650,27,NU,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,hangttt09a1
3,2009-02-1-15-087282,33,NU,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,huongbm09a1
4,2009-02-1-15-085568,27,NU,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,lannp09a1
5,2009-02-1-15-085567,25,NU,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,hattt09a1
6,2009-02-1-15-087277,29,NU,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,loanbt09a1
7,2009-02-1-15-085642,38,NAM,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,dunglt09a1
8,2009-02-1-15-085565,32,NU,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,haht09a1
9,2009-02-1-15-085570,27,NU,VAN_BANG_HAI,Y,NGOAI_NGU,hantv09a1
10,2009-02-1-15-085566,33,NU,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,huongnt09a1
11,2009-01-1-15-085524,28,NU,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,anhtv09a1
12,2009-02-1-15-085555,24,NU,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,hanhlp09a1
13,2009-02-1-15-085652,26,NU,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,luunt09a1
14,2009-02-1-15-085557,26,NU,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,hongcm09a1
15,2009-02-1-15-085569,27,NU,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,ngadtt09a1
16,2009-02-1-15-085560,29,NU,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,maitt09a1
17,2009-02-1-15-085571,25,NU,DOI_TUONG_KHONG_BIET,Y,KHOA_HOC_XA_HOI_NHAN_VAN,ngaptt09a1
18,2009-02-1-15-085562,26,NU,VAN_BANG_HAI,Y,KINH_TE,ngavt09a1
19,2009-02-1-15-085561,32,NU,VAN_BANG_HAI,Y,NGOAI_NGU,ngadtp09a1
20,2009-02-1-15-087280,28,NU,VAN_BANG_HAI,N,KINH_TE,thanhvtt09a1
21,2009-02-1-15-087276,35,NU,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,lienvth09a1
22,2009-02-1-15-087281,32,NU,VAN_BANG_HAI,Y,NGOAI_NGU,thuynt09a1
23,2009-02-1-15-087278,30,NU,DOI_TUONG_KHONG_BIET,Y,NGOAI_NGU,thongnt09a1
24,2009-02-1-15-085647,36,NU,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,thunth09a1
25,2009-02-1-15-085651,32,NU,VAN_BANG_HAI,Y,KINH_TE,tuyenptm09a1
26,2009-02-1-15-085649,29,NU,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,vannth09a1
27,2009-02-1-15-085648,34,NU,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,vannt09a1
28,2009-02-1-15-087287,25,NU,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,linhtt09b1
29,2009-02-1-15-087289,34,NU,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,minhpds09b1
30,2009-02-1-15-085654,27,NU,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,ngactt09b1
31,2009-02-1-15-085657,26,NU,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,ngoandt09b1
32,2009-02-1-15-085645,28,NU,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,nguyetcm09a1
33,MA_TAM00000048,40,NAM,DOI_TUONG_KHONG_BIET,Y,KHOA_HOC_TU_NHIEN,ducslv09a1
34,2009-02-1-15-085646,30,NAM,VAN_BANG_HAI,N,KHOA_HOC_TU_NHIEN,sondt09a1
35,2009-01-1-15-085590,26,NU,VAN_BANG_HAI,Y,NGOAI_NGU,nhanbt09c1
36,2009-01-1-15-085534,34,NAM,VAN_BANG_HAI,Y,NGOAI_NGU,oanhdx09c1
37,2009-01-1-15-085529,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,thangnq09c1
38,2009-02-1-15-087290,24,NU,CAO_DANG,N,KINH_TE,phuongbtk09b1
39,2009-02-1-15-085660,27,NU,CAO_DANG,Y,KHOA_HOC_XA_HOI_NHAN_VAN,thaovt09b1
40,2009-02-1-15-085636,25,NAM,DOI_TUONG_KHONG_BIET,N,KINH_TE,cuongtn09b1
41,2009-02-1-15-085558,34,NU,VAN_BANG_HAI,Y,NGOAI_NGU,huongpt09a1
42,2009-02-1-15-091867,28,NAM,VAN_BANG_HAI,Y,NGOAI_NGU,thanhnc09a1
43,2009-02-1-15-085626,28,NU,CAO_DANG,N,KINH_TE,hanhttm09b1
44,2009-02-1-15-087285,26,NAM,CAO_DANG,N,KINH_TE,hungtv09b1
45,2009-02-1-15-085638,24,NU,CAO_DANG,Y,KINH_TE,hientt09b1
46,2009-02-1-15-085627,27,NU,CAO_DANG,N,KINH_TE,ngoclb09b1
47,2009-02-1-15-087286,30,NU,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,huongltm09b1
48,2009-02-1-15-085578,24,NU,DOI_TUONG_KHONG_BIET,N,KINH_TE,bacnt09b1
49,2009-02-1-15-085659,27,NU,CAO_DANG,Y,KHOA_HOC_XA_HOI_NHAN_VAN,thaoltp09b1
50,2009-02-1-15-085580,24,NU,CAO_DANG,N,KINH_TE,binhntt09b1
51,2009-02-1-15-087283,26,NU,DOI_TUONG_KHONG_BIET,Y,KHOA_HOC_XA_HOI_NHAN_VAN,anhnth09b1
52,2009-01-1-15-085530,27,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,tuanpv09c1
53,2009-02-1-15-087295,25,NU,CAO_DANG,Y,KHOI_NGANH_CHUA_BIET,huept09b1
54,2009-01-1-15-085596,52,NAM,DOI_TUONG_KHONG_BIET,Y,KHOI_NGANH_CHUA_BIET,quannm09c1
55,2009-01-1-15-085623,39,NAM,DOI_TUONG_KHONG_BIET,Y,KHOI_NGANH_CHUA_BIET,thangnt09c1
56,2009-02-1-15-085637,24,NU,CAO_DANG,N,KINH_TE,tuyetnt09b1
57,MA_TAM00000052,32,NU,DOI_TUONG_KHONG_BIET,Y,NGOAI_NGU,ngaptt209a1
58,MA_TAM00000053,25,NU,DOI_TUONG_KHONG_BIET,Y,KHOI_NGANH_CHUA_BIET,ngant09a1
59,2009-01-1-15-085585,27,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,duypk09c1
60,2009-02-1-15-087293,27,NU,CAO_DANG,Y,KHOI_NGANH_CHUA_BIET,xuanht09b1
61,2009-01-1-15-085599,27,NAM,DOI_TUONG_KHONG_BIET,Y,KHOI_NGANH_CHUA_BIET,trieuhv09c1
62,2009-01-1-15-085536,25,NU,VAN_BANG_HAI,Y,NGOAI_NGU,hattv09c1
63,2009-02-1-15-085658,31,NAM,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,hungdm09b1
64,2009-01-1-15-087273,38,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,kinhbv09c1
65,2009-01-1-15-087297,29,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,namdd09c1
66,2009-01-1-15-085525,27,NU,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,anhpn09c1
67,2009-01-1-15-085592,31,NU,VAN_BANG_HAI,Y,KINH_TE,trangntn09c1
68,2009-01-1-15-085595,33,NAM,VAN_BANG_HAI,Y,KHOI_NGANH_CHUA_BIET,cuongtt09c1
69,2009-01-1-15-087257,29,NAM,VAN_BANG_HAI,N,NGOAI_NGU,dieunc09c1
70,2009-01-1-15-091868,32,NU,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,hopnb09c1
71,2009-01-1-15-085532,27,NAM,VAN_BANG_HAI,Y,NGOAI_NGU,hongnd09c1
72,2009-01-1-15-085587,30,NAM,VAN_BANG_HAI,N,NGOAI_NGU,haitq09c1
73,2009-01-1-15-085583,33,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,bahs09c1
74,2009-01-1-15-085527,30,NAM,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,kienlt09c1
75,2009-02-1-15-085559,31,NAM,DOI_TUONG_KHONG_BIET,Y,NGOAI_NGU,kienvd09c1
76,2009-01-1-15-085603,25,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,toannk09c1
77,2009-01-1-15-085586,33,NAM,DOI_TUONG_KHONG_BIET,Y,NGOAI_NGU,habx09c1
78,2009-01-1-15-087258,29,NAM,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,quyenhq09c1
79,2009-01-1-15-085584,28,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,dungdv09c1
80,2009-01-1-15-085594,29,NAM,DOI_TUONG_KHONG_BIET,Y,KHOA_HOC_TU_NHIEN,vangdn09c1
81,2009-01-1-15-085526,29,NAM,DOI_TUONG_KHONG_BIET,Y,KHOI_NGANH_CHUA_BIET,hieutt09c1
82,2009-01-1-15-085582,27,NAM,VAN_BANG_HAI,Y,KHOI_NGANH_CHUA_BIET,anhvn09c1
83,2009-01-1-15-085601,33,NU,DOI_TUONG_KHONG_BIET,Y,NGOAI_NGU,hahtt09c1
84,2009-01-1-15-085538,27,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,toantm09c1
85,2009-01-1-15-085540,28,NU,VAN_BANG_HAI,Y,NGOAI_NGU,ngant09c1
86,2009-01-1-15-087272,25,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,duonglv09c1
87,2009-02-1-15-085629,26,NU,CAO_DANG,N,KINH_TE,ngocltb09b1
88,2009-02-1-15-085639,25,NU,CAO_DANG,N,KHOA_HOC_TU_NHIEN,oanhnt09b1
89,2009-01-1-15-087269,24,NU,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,thunt09d1
90,2009-02-1-15-085656,26,NU,CAO_DANG,N,KHOI_NGANH_CHUA_BIET,thuyptp09b1
91,2009-01-1-15-087274,25,NU,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,vantt09d1
92,2009-01-1-15-087271,27,NAM,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,tungnt09d1
93,2009-01-1-15-085610,31,NAM,CAO_DANG,Y,KINH_TE,chiennv09d1
94,2009-01-1-15-087270,25,NAM,CAO_DANG,N,KINH_TE,tuantq09d1
95,2009-01-1-15-085544,27,NAM,CAO_DANG,N,KINH_TE,khaidv09d1
96,MA_TAM00000064,25,NAM,VAN_BANG_HAI,Y,NGOAI_NGU,binhncl09c1
97,MA_TAM00000066,32,NAM,DOI_TUONG_KHONG_BIET,Y,KHOI_NGANH_CHUA_BIET,kiennt09c1
98,MA_TAM00000067,30,NAM,VAN_BANG_HAI,N,KINH_TE,linhnd09c1
99,MA_TAM00000069,30,NU,VAN_BANG_HAI,N,KHOA_HOC_XA_HOI_NHAN_VAN,maitt09c1
100,MA_TAM00000070,54,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,namph09c1
101,2009-01-1-15-085616,26,NAM,CAO_DANG,Y,KINH_TE,dungla09d1
102,2009-01-1-15-085553,24,NAM,DOI_TUONG_KHONG_BIET,N,KHOI_NGANH_CHUA_BIET,congnd09d1
103,2009-01-1-15-085621,32,NAM,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,quannh09d1
104,2009-01-1-15-085609,27,NAM,CAO_DANG,N,KINH_TE,hiennd09d1
105,2009-02-1-15-085655,25,NU,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,trangnt09d1
106,2009-01-1-15-085605,27,NAM,CAO_DANG,N,KINH_TE,giaolt09d1
107,2009-01-1-15-085618,28,NU,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,vannth09d1
108,2009-01-1-15-087266,24,NAM,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,linhld09d1
109,2009-01-1-15-085549,24,NU,CAO_DANG,N,KINH_TE,tratm09d1
110,2009-01-1-15-085619,27,NAM,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,lanvv09d1
