KY_DANG_HOC,TUOI,GIOI_TINH,DOI_TUONG_HOC,KHAC_NGANH_YN,MA_KHOI_NGANH_DA_TN,DIEM_TB_TICH_LUY,SO_LAN_DANG_NHAP,QUI_MO_LOP_HOC,TY_LE_DROP_OUT_KY_TRUOC,MAU
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,VANG
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,VANG
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,VANG
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
1,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,VANG
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,VANG
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,VANG
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
2,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
