X1_TUOI_HOC_VIEN,X2_GIOI_TINH,X14_DOI_TUONG_HOC,X15_NGANH_HOC,KHAC_NGANH_YN,MA_KHOI_NGANH_DA_TOT_NGHIEP,Y4_DIEM_TRUNG_BINH_TICH_LUY,Y3_TRANG_THAI_HOC_VIEN
33,0,CAO_DANG,QUAN_TRI_KINH_DOANH,Y,KINH_TE,7.6,1
28,1,DIPLOMA,TIN_HOC_UNG_DUNG,N,KHOA_HOC_TU_NHIEN,6,1
27,1,DIPLOMA,TIN_HOC_UNG_DUNG,N,KHOA_HOC_TU_NHIEN,8.6,1
21,1,DIPLOMA,TIN_HOC_UNG_DUNG,N,KHOA_HOC_TU_NHIEN,7.6,1
34,0,TRUNG_CAP_CUNG_NGANH,KE_TOAN,N,KINH_TE,7.71,1
29,1,TRUNG_HOC_PHO_THONG,QUAN_TRI_KINH_DOANH,N,KHOI_NGANH_THPT,2.83,1
30,0,VAN_BANG_HAI,KE_TOAN,N,KHOA_HOC_TU_NHIEN,6.75,1
32,1,TRUNG_HOC_PHO_THONG,QUAN_TRI_KINH_DOANH,N,KHOI_NGANH_THPT,3.33,1
23,1,CAO_DANG,QUAN_TRI_KINH_DOANH,N,KHOI_NGANH_CHUA_BIET,5,1
23,1,CAO_DANG,QUAN_TRI_KINH_DOANH,Y,NGOAI_NGU,8,1
24,1,VAN_BANG_HAI,QUAN_TRI_KINH_DOANH,Y,KHOI_NGANH_CHUA_BIET,8.2,1
23,0,TRUNG_CAP_CUNG_NGANH,KE_TOAN,N,KHOA_HOC_TU_NHIEN,6.11,1
25,0,TRUNG_CAP_CUNG_NGANH,KE_TOAN,N,KINH_TE,5.17,1
25,1,DIPLOMA,TIN_HOC_UNG_DUNG,N,KHOA_HOC_TU_NHIEN,6.2,1
30,1,DIPLOMA,TIN_HOC_UNG_DUNG,N,KHOA_HOC_TU_NHIEN,6.2,1
26,1,TRUNG_HOC_PHO_THONG,QUAN_TRI_KINH_DOANH,Y,KHOI_NGANH_THPT,6.33,1
26,1,DIPLOMA,TIN_HOC_UNG_DUNG,N,KHOA_HOC_TU_NHIEN,7.4,1
23,0,VAN_BANG_HAI,QUAN_TRI_KINH_DOANH,Y,KHOA_HOC_TU_NHIEN,5.29,1
24,0,CAO_DANG,QUAN_TRI_KINH_DOANH,N,KINH_TE,4.4,1
22,1,DIPLOMA,TIN_HOC_UNG_DUNG,N,KHOA_HOC_TU_NHIEN,6.6,1
22,1,DIPLOMA,TIN_HOC_UNG_DUNG,N,KHOA_HOC_TU_NHIEN,2.4,1
